Time (ms)	Identifier	IDE	RTR	DLC	Byte 0	Byte 1	Byte 2	Byte 3	Byte 4	Byte 5	Byte 6	Byte 7
100	00d7	0	0	8	0D	0	0	0	5	0	5	0
107	00c0	0	0	8	0	0	0	0	0	0	0	0
108	00a6	0	0	8	4	0	7	0	6	0	0	0
114	00de	0	0	8	10	0	49	20	25	3	22	20
117	00c0	0	0	8	0	0	0	0	0	0	0	0
120	00dd	0	0	8	0	0	0	0	0	0	0	0
126	00c0	0	0	8	0	0	0	0	0	0	0	0
130	00a6	0	0	8	FC	FF	7	0	EF	FF	0	0
137	00c0	0	0	8	0	0	0	0	0	0	0	0
141	00dd	0	0	8	FF	FF	0	0	0	0	0	0
143	00d4	0	0	8	0	0	0	0	0	0	0	0
149	00ad	0	0	8	0	0	0	0	0	0	0	0
157	00c0	0	0	8	0	0	0	0	0	0	0	0
162	00dd	0	0	8	0	0	0	0	0	0	0	0
163	00d5	0	0	8	F3	3	0	0	0	0	0E	FC
167	00c0	0	0	8	0	0	0	0	0	0	0	0
171	00ab	0	0	8	0	0	0	0	0	0	0	0
177	00c0	0	0	8	0	0	0	0	0	0	0	0
183	00dd	0	0	8	1	0	0	0	0	0	0	0
185	00d5	0	0	8	F2	3	0	0	0	0	0E	FC
191	00ad	0	0	8	FF	FF	0	0	0	0	0	0
197	00c0	0	0	8	0	0	0	0	0	0	0	0
204	00dd	0	0	8	FF	FF	0	0	0	0	0	0
206	00d5	0	0	8	F2	3	0	0	0	0	0E	FC
212	00ad	0	0	8	0	0	0	0	0	0	0	0
214	00a5	0	0	8	59	1	0	0	0	0	A8	FE
218	00f0	0	0	8	0	0	0	0	0	0	0	0
225	00dd	0	0	8	0	0	0	0	0	0	0	0
227	00d5	0	0	8	F2	3	0	0	0	0	0E	FC
233	00ad	0	0	8	1	0	0	0	0	0	0	0
237	00c0	0	0	8	0	0	0	0	0	0	0	0
246	00dd	0	0	8	FF	FF	0	0	0	0	0	0
248	00d6	0	0	8	3	0	3	0	0	0	0	0
254	00ad	0	0	8	FF	FF	0	0	0	0	0	0
256	00a5	0	0	8	59	1	0	0	0	0	A8	FE
267	00c0	0	0	8	0	0	0	0	0	0	0	0
269	00d6	0	0	8	FB	FF	FE	FF	0	0	0	0
272	00ae	0	0	8	10	0	49	20	25	3	22	20
276	00aa	0	0	8	4	0	9	0	0	0	40	0
286	7	0	0	4	E8	1	D8	0				
288	00dd	0	0	8	0	0	0	0	0	0	0	0
290	00d5	0	0	8	F2	3	0	0	0	0	0E	FC
296	00ad	0	0	8	FF	FF	0	0	0	0	0	0
299	00a3	0	0	8	E8	25	73	1E	E9	A5	97	1E
308	00c0	0	0	8	0	0	0	0	0	0	0	0
310	00dd	0	0	8	FF	FF	0	0	0	0	0	0
317	00c0	0	0	8	0	0	0	0	0	0	0	0
319	00a6	0	0	8	FB	FF	FB	FF	F4	FF	0	0
327	00c0	0	0	8	0	0	0	0	0	0	0	0
330	00dd	0	0	8	FF	FF	0	0	0	0	0	0
332	00d5	0	0	8	F2	3	0	0	0	0	0E	FC
337	00c0	0	0	8	0	0	0	0	0	0	0	0
340	00a3	0	0	8	E8	25	83	1E	E8	A5	97	1E
348	00c0	0	0	8	0	0	0	0	0	0	0	0
352	00dd	0	0	8	FF	FF	0	0	0	0	0	0
357	00c0	0	0	8	0	0	0	0	0	0	0	0
360	00ad	0	0	8	0	0	0	0	0	0	0	0
367	00c0	0	0	8	0	0	0	0	0	0	0	0
372	8	0	0	2	E8	FF						
373	00dc	0	0	8	0	0	0	0	B7	DC	0B	0
375	00a1	0	0	8	15	1	3	8	16	8	F0	D8
380	00ad	0	0	8	FF	FF	0	0	0	0	0	0
388	00c0	0	0	8	0	0	0	0	0	0	0	0
394	00dd	0	0	8	0	0	0	0	0	0	0	0
396	00d5	0	0	8	F2	3	0	0	0	0	0E	FC
402	00ad	0	0	8	FF	FF	0	0	0	0	0	0
403	00a5	0	0	8	58	1	0	0	0	0	A8	FE
407	00c0	0	0	8	0	0	0	0	0	0	0	0
414	00dd	0	0	8	0	0	0	0	0	0	0	0
416	00d4	0	0	8	0	0	0	0	0	0	0	0
421	00d2	0	0	8	F0	D8	F0	D8	E0	0	0	0
428	00c0	0	0	8	0	0	0	0	0	0	0	0
436	00dd	0	0	8	FF	FF	0	0	0	0	0	0
438	00d5	0	0	8	F2	3	0	0	0	0	0E	FC
444	00ad	0	0	8	FF	FF	0	0	0	0	0	0
445	00a5	0	0	8	58	1	0	0	0	0	A8	FE
457	00dd	0	0	8	FF	FF	0	0	0	0	0	0
458	00d6	0	0	8	0	0	0	0	7	0	0	0
464	00ad	0	0	8	0	0	0	0	0	0	0	0
466	00a5	0	0	8	59	1	0	0	0	0	A8	FE
477	00ae	0	0	8	10	0	49	20	25	3	22	20
479	00dc	0	0	8	0	0	FF	FF	DA	DC	0B	0
486	00ad	0	0	8	FF	FF	0	0	0	0	0	0
487	00a5	0	0	8	59	1	0	0	0	0	A8	FE
497	00c0	0	0	8	0	0	0	0	0	0	0	0
499	00db	0	0	8	0	0	0	0	0	0	0	0
506	00ad	0	0	8	FF	FF	0	0	0	0	0	0
508	00a5	0	0	8	59	1	0	0	0	0	A8	FE
518	00c0	0	0	8	0	0	0	0	0	0	0	0
520	00dd	0	0	8	0	0	0	0	0	0	0	0
522	00d4	0	0	8	0	0	0	0	0	0	0	0
528	00c0	0	0	8	0	0	0	0	0	0	0	0
538	00c0	0	0	8	0	0	0	0	0	0	0	0
541	00dd	0	0	8	1	0	0	0	0	0	0	0
542	00d5	0	0	8	F2	3	0	0	0	0	0E	FC
547	00c0	0	0	8	0	0	0	0	0	0	0	0
551	00a3	0	0	8	E8	25	83	1E	E8	A5	A7	1E
558	00c0	0	0	8	0	0	0	0	0	0	0	0
562	00dd	0	0	8	FF	FF	0	0	0	0	0	0
