"Time","Mod A Temp","Mod B Temp","Mod C Temp","Gate Driver Board Temp","Control Board Temp","RTD 1 Temp","RTD 2 Temp","RTD 3 Temp","RTD 4 Temp","RTD 5 Temp","Motor Temp","Torque Shudder","Motor Angle Electrical","Motor Speed","Electrical Output Freq","Delta Resolver Filtered"
"s","C","C","C","C","C","C","C","C","C","C","C","N*m","degrees","rpm","Hz","degrees"
"0.000","","","","","","","","","","","","","34.5","0","0","-34.4"
"42.000","","","","","","","","","","","","","34.5","0","0","-34.4"
"161.000","","","","","27.7","205.1","207","-1000","","","","","","","",""
"189.000","","","","","","","","","","","","","34.4","0","0","-34.4"
"231.000","","","","","","","","","","","","","34.4","0","0","-34.4"
"252.000","","","","","","","","","","","","","34.5","0","0","-34.4"
"273.000","","","","","","","","","","","","","34.5","0","0","-34.4"
"294.000","","","","","","","","","","","","","34.5","0","0","-34.4"
"365.000","","","","","27.7","205.1","207","-1000","","","","","","","",""
"420.000","","","","","","","","","","","","","34.5","0","0","-34.4"
"442.000","","","","","","","","","","","","","34.4","0","0","-34.4"
"462.000","","","","","","","","","","","","","34.4","0","0","-34.4"
"505.000","","","","","","","","","","","","","34.4","0","0","-34.4"
"568.000","","","","","","","","","","","","","34.3","0","0","-34.4"
"652.000","","","","","","","","","","","","","34.4","0","0","-34.4"
"695.000","","","","","","","","","","","","","34.4","0","0","-34.4"
"715.000","","","","","","","","","","","","","34.4","0","0","-34.4"
"821.000","","","","","","","","","","","","","34.4","0","0","-34.3"
"863.000","","","","","","","","","","","","","34.3","0","0","-34.3"
"884.000","","","","","","","","","","","","","34.3","0","0","-34.3"
"905.000","","","","","","","","","","","","","34.3","0","0","-34.3"
"989.000","","","","","","","","","","","","","34.4","0","0","-34.3"
"1031.000","","","","","","","","","","","","","34.3","0","0","-34.3"
"1073.000","","","","","","","","","","","","","34.4","0","0","-34.3"
"1116.000","","","","","","","","","","","","","34.3","0","0","-34.3"
"1263.000","","","","","","","","","","","","","34.3","0","0","-34.3"
"1284.000","","","","","","","","","","","","","34.2","0","0","-34.3"
"1305.000","","","","","","","","","","","","","34.3","0","0","-34.2"
