"Time","X Axis Acceleration","Y Axis Acceleration","Z Axis Acceleration"
"ms","g","g","g"
"0.000","-0.088","0.022","1.03"
"10.000","-0.089","0.022","1.031"
"20.000","-0.089","0.022","1.031"
"30.000","-0.089","0.021","1.031"
"40.000","-0.089","0.021","1.032"
"50.000","-0.088","0.021","1.032"
"60.000","-0.088","0.021","1.031"
"70.000","-0.088","0.021","1.031"
"80.000","-0.087","0.021","1.03"
"90.000","-0.087","0.022","1.03"
"100.000","-0.087","0.022","1.029"
"110.000","-0.087","0.022","1.029"
"120.000","-0.087","0.023","1.029"
"130.000","-0.087","0.023","1.029"
"140.000","-0.087","0.023","1.03"
"150.000","-0.086","0.023","1.03"
"160.000","-0.086","0.023","1.03"
"170.000","-0.087","0.023","1.032"
"180.000","-0.087","0.023","1.033"
"190.000","-0.087","0.023","1.035"
"200.000","-0.087","0.023","1.036"
"210.000","-0.087","0.023","1.036"
"220.000","-0.087","0.023","1.036"
"230.000","-0.088","0.022","1.037"
"240.000","-0.088","0.022","1.038"
"250.000","-0.088","0.022","1.038"
"260.000","-0.089","0.022","1.039"
"270.000","-0.088","0.022","1.039"
"280.000","-0.088","0.022","1.039"
"290.000","-0.088","0.022","1.039"
"300.000","-0.088","0.022","1.04"
"310.000","-0.088","0.022","1.04"
"320.000","-0.088","0.022","1.041"
"330.000","-0.088","0.023","1.04"
"340.000","-0.087","0.023","1.04"
"350.000","-0.087","0.024","1.04"
"360.000","-0.086","0.024","1.04"
"370.000","-0.086","0.025","1.04"
"380.000","-0.086","0.026","1.039"
"390.000","-0.086","0.027","1.039"
"400.000","-0.086","0.027","1.039"
"410.000","-0.087","0.027","1.039"
"420.000","-0.088","0.027","1.039"
"430.000","-0.089","0.027","1.039"
"440.000","-0.089","0.028","1.04"
"450.000","-0.089","0.029","1.04"
"460.000","-0.088","0.03","1.04"
"470.000","-0.088","0.03","1.04"
"480.000","-0.088","0.031","1.04"
"490.000","-0.088","0.032","1.041"
"500.000","-0.088","0.033","1.04"
"510.000","-0.087","0.033","1.039"
"520.000","-0.088","0.033","1.038"
"530.000","-0.088","0.033","1.037"
"540.000","-0.089","0.033","1.037"
"550.000","-0.09","0.033","1.036"
"560.000","-0.091","0.033","1.035"
"570.000","-0.091","0.033","1.035"
"580.000","-0.091","0.032","1.035"
"590.000","-0.091","0.031","1.035"
"600.000","-0.091","0.031","1.035"
"610.000","-0.092","0.031","1.035"
"620.000","-0.091","0.03","1.036"
"630.000","-0.091","0.029","1.036"
"640.000","-0.091","0.028","1.036"
"650.000","-0.091","0.027","1.036"
"660.000","-0.091","0.026","1.035"
"670.000","-0.091","0.026","1.035"
"680.000","-0.092","0.025","1.034"
"690.000","-0.092","0.024","1.034"
"700.000","-0.092","0.023","1.034"
"710.000","-0.092","0.023","1.034"
"720.000","-0.092","0.022","1.034"
"730.000","-0.092","0.021","1.035"
"740.000","-0.092","0.021","1.035"
"750.000","-0.092","0.02","1.035"
"760.000","-0.092","0.02","1.035"
"770.000","-0.091","0.02","1.035"
"780.000","-0.091","0.021","1.035"
"790.000","-0.09","0.021","1.035"
"800.000","-0.089","0.021","1.035"
"810.000","-0.089","0.021","1.034"
"820.000","-0.089","0.021","1.033"
"830.000","-0.089","0.021","1.033"
"840.000","-0.089","0.022","1.033"
"850.000","-0.09","0.022","1.034"
"860.000","-0.09","0.022","1.034"
"870.000","-0.09","0.023","1.034"
"880.000","-0.091","0.023","1.034"
"890.000","-0.091","0.024","1.033"
"900.000","-0.092","0.024","1.033"
"910.000","-0.092","0.024","1.033"
"920.000","-0.092","0.024","1.033"
"930.000","-0.092","0.024","1.033"
"940.000","-0.092","0.024","1.033"
"950.000","-0.091","0.023","1.032"
"960.000","-0.091","0.023","1.032"
"970.000","-0.091","0.023","1.032"
"980.000","-0.091","0.023","1.032"
"990.000","-0.091","0.023","1.031"
"1000.000","-0.091","0.023","1.032"
"1010.000","-0.091","0.023","1.032"
"1020.000","-0.091","0.023","1.032"
"1030.000","-0.091","0.023","1.031"
"1040.000","-0.091","0.023","1.031"
"1050.000","-0.091","0.024","1.03"
"1060.000","-0.091","0.024","1.03"
"1070.000","-0.09","0.024","1.029"
"1080.000","-0.09","0.024","1.029"
"1090.000","-0.089","0.024","1.029"
"1100.000","-0.088","0.024","1.028"
"1110.000","-0.088","0.025","1.027"
"1120.000","-0.087","0.025","1.027"
"1130.000","-0.087","0.024","1.026"
"1140.000","-0.086","0.024","1.026"
"1150.000","-0.086","0.024","1.025"
"1160.000","-0.086","0.024","1.026"
