"Time","X Axis Acceleration","Y Axis Acceleration","Z Axis Acceleration"
"ms","g","g","g"
"0.000","0.189","0.013","0.994"
"30.000","0.19","0.013","0.994"
"60.000","0.19","0.013","0.993"
"80.000","0.191","0.013","0.993"
"110.000","0.191","0.013","0.993"
"140.000","0.191","0.013","0.993"
"160.000","0.192","0.013","0.992"
"190.000","0.192","0.012","0.992"
"220.000","0.192","0.012","0.992"
"240.000","0.192","0.012","0.993"
"270.000","0.192","0.012","0.993"
"300.000","0.192","0.012","0.993"
"330.000","0.192","0.013","0.993"
"350.000","0.191","0.013","0.993"
"380.000","0.191","0.013","0.993"
"410.000","0.191","0.014","0.994"
"430.000","0.191","0.014","0.995"
"460.000","0.191","0.014","0.995"
"490.000","0.191","0.014","0.996"
"510.000","0.191","0.014","0.996"
"540.000","0.191","0.013","0.996"
"570.000","0.191","0.013","0.996"
"600.000","0.191","0.013","0.996"
"620.000","0.191","0.013","0.997"
"650.000","0.191","0.013","0.997"
"680.000","0.191","0.012","0.997"
"700.000","0.191","0.013","0.997"
"730.000","0.191","0.013","0.997"
"760.000","0.191","0.013","0.997"
"780.000","0.191","0.013","0.997"
"810.000","0.191","0.013","0.997"
"840.000","0.191","0.013","0.996"
"870.000","0.191","0.013","0.996"
"890.000","0.191","0.013","0.996"
"920.000","0.191","0.013","0.995"
"940.000","0.191","0.013","0.995"
"970.000","0.191","0.012","0.995"
"1000.000","0.191","0.012","0.994"
"1030.000","0.191","0.012","0.994"
"1050.000","0.191","0.012","0.994"
"1080.000","0.19","0.012","0.993"
"1110.000","0.19","0.012","0.993"
"1140.000","0.19","0.012","0.993"
"1160.000","0.189","0.012","0.993"
"1190.000","0.189","0.012","0.993"
"1210.000","0.188","0.012","0.993"
"1240.000","0.188","0.012","0.993"
"1270.000","0.187","0.012","0.993"
"1300.000","0.187","0.012","0.993"
"1320.000","0.187","0.012","0.993"
"1350.000","0.187","0.012","0.993"
"1380.000","0.187","0.012","0.993"
"1410.000","0.187","0.012","0.993"
"1430.000","0.187","0.012","0.993"
"1460.000","0.187","0.012","0.993"
"1480.000","0.186","0.012","0.993"
"1510.000","0.186","0.012","0.993"
"1540.000","0.186","0.012","0.993"
"1560.000","0.186","0.012","0.994"
"1590.000","0.186","0.012","0.994"
"1620.000","0.186","0.012","0.994"
"1650.000","0.187","0.012","0.994"
"1680.000","0.187","0.012","0.994"
"1700.000","0.188","0.012","0.994"
"1730.000","0.188","0.012","0.994"
"1750.000","0.188","0.012","0.995"
"1780.000","0.189","0.012","0.995"
"1810.000","0.188","0.012","0.995"
"1830.000","0.188","0.013","0.996"
"1860.000","0.189","0.013","0.996"
"1890.000","0.189","0.013","0.997"
"1920.000","0.189","0.013","0.997"
"1940.000","0.189","0.013","0.997"
"1970.000","0.189","0.013","0.997"
"2000.000","0.189","0.012","0.997"
"2020.000","0.189","0.012","0.997"
"2050.000","0.189","0.012","0.998"
"2080.000","0.188","0.012","0.999"
"2100.000","0.188","0.012","1"
"2130.000","0.188","0.012","1.001"
"2160.000","0.188","0.013","1.001"
"2180.000","0.188","0.014","1.001"
"2210.000","0.188","0.014","1.002"
"2240.000","0.187","0.015","1.002"
"2270.000","0.187","0.015","1.002"
"2290.000","0.187","0.015","1.003"
"2320.000","0.187","0.015","1.003"
"2350.000","0.187","0.015","1.004"
"2370.000","0.187","0.015","1.004"
